businessUnit_name,Description,Address,City,County,State,Postal Code,Business Unit #,Grocery delivery service offered,Grocery delivery status,Online grocery pickup service offered,Online grocery pickup status
"FRIDLEY, MN",Sam's Club,8150 UNIVERSITY AVE NE,FRIDLEY,ANOKA,MN,55432-1864,6310,,Not Available,Yes,Not Available
"SHAKOPEE, MN",Sam's Club,8201 OLD CARRIAGE CT,SHAKOPEE,SCOTT,MN,55379-3154,6311,,,Yes,
WAYNESBURG PA,WM Supercenter,405 MURTHA DR,WAYNESBURG,GREENE,PA,15370-7010,5446,Yes,Available,Yes,Available
"WOODBURY, MN",Sam's Club,9925 HUDSON ROAD,WOODBURY,WASHINGTON,MN,55125-0000,6312,,,Yes,
KEARNY NJ,WM Supercenter,150 HARRISON AVE,KEARNY,HUDSON,NJ,07032-5950,5447,Yes,Available,Yes,Available
"FT. WAYNE, IN",Sam's Club,6736 LIMA RD,FORT WAYNE,ALLEN,IN,46818-1118,6313,No,Not Available,No,Not Available
"RAYNHAM (N), MA",WM Supercenter,160 BROADWAY,RAYNHAM,BRISTOL,MA,02767-1414,5448,Yes,,Yes,
"ELYRIA, OH",Sam's Club,5225 COBBLESTONE RD,SHEFFIELD VILLAGE,LORAIN,OH,44035-1489,6314,,,,
"MISHAWAKA, IN",Sam's Club,120 INDIAN RIDGE BLVD,MISHAWAKA,ST. JOSEPH,IN,46545-9033,6315,,,Yes,
"MISSOURI CITY (SIEN), TX",WM Supercenter,9929 HWY 6,MISSOURI CITY,FORT BEND,TX,77459-4149,5449,Yes,Available,Yes,Available
MANCHESTER KY,Wal-Mart,240 MANCHESTER SQUARE SHPG CTR,MANCHESTER,CLAY,KY,40962-8700,545,No,,Yes,
"NORTH EAST, MD",WM Supercenter,75 NORTH EAST PLZ,NORTH EAST,CECIL,MD,21901-3617,5450,No,Available,Yes,Available
"NORTH CANTON, OH",Sam's Club,4790 PORTAGE ST NW,CANTON,STARK,OH,44720-7245,6317,,,Yes,
"FORT MYERS-CAPE CORAL,FL",Neighborhood Market,3920 SKYLINE BLVD,CAPE CORAL,LEE,FL,33914-5835,5451,No,,No,
"EVANSVILLE, IN",Neighborhood Market,2500 N 1ST AVE,EVANSVILLE,VANDERBURGH,IN,47710-2950,5452,No,Not Available,No,Not Available
"KENTWOOD, MI",Sam's Club,4326 28TH ST SE,KENTWOOD,KENT,MI,49512-1908,6319,,,Yes,
"CAPE CORAL (N), FL",Neighborhood Market,505 SW PINE ISLAND RD,CAPE CORAL,LEE,FL,33991-1962,5453,Yes,Available,No,Available
MT PLEASANT SC,WM Supercenter,1481 N HIGHWAY 17,MOUNT PLEASANT,CHARLESTON,SC,29464-3332,632,No,Not Available,Yes,Not Available
"PALM BAY, FL",WM Supercenter,1040 MALABAR RD SE,PALM BAY,BREVARD,FL,32907-3251,5455,Yes,Available,Yes,Available
"HERMANTOWN, MN",Sam's Club,4743 MAPLE GROVE RD,HERMANTOWN,ST. LOUIS,MN,55811-3920,6320,Yes,Available,Yes,Available
"APPLETON, WI",Sam's Club,1000 N WESTHILL BLVD,APPLETON,OUTAGAMIE,WI,54914-5792,6321,,,,
"BOARDMAN, OH",Sam's Club,6361 SOUTH AVE,BOARDMAN,MAHONING,OH,44512-3619,6322,,,,
GULFPORT ORANGE GROVE MS,Neighborhood Market,11333 HIGHWAY 49,GULFPORT,HARRISON,MS,39503-3130,6323,No,Not Available,No,Not Available
DELTA CO,WM Supercenter,37 STAFFORD LN,DELTA,DELTA,CO,81416-3465,5458,No,,No,Available
"MILWAUKEE(N),WI",Sam's Club,8050 N 124TH STREET,MILWAUKEE,MILWAUKEE,WI,53224-4200,6324,,,,
STARKVILLE MS,Neighborhood Market,105 MARKET ST,STARKVILLE,OKTIBBEHA,MS,39759-4270,5459,Yes,Available,Yes,Available
"RICHMOND, TX",WM Supercenter,5330 FM 1640 RD,RICHMOND,FORT BEND,TX,77469-5435,546,No,Available,No,Available
"GREENWOOD, IN",Sam's Club,1101 WINDHORST WAY,GREENWOOD,JOHNSON,IN,46143-9067,6325,,,,
PORTLAND TX,WM Supercenter,2000 US HIGHWAY 181,PORTLAND,SAN PATRICIO,TX,78374-4172,5460,No,,Yes,Available
"REYNOLDSBURG, OH",Sam's Club,2675 TAYLOR ROAD EXT,REYNOLDSBURG,FAIRFIELD,OH,43068-9543,6326,No,,Yes,
VANCOUVER (NE) WA,WM Supercenter,14505 NE FOURTH PLAIN BLVD,VANCOUVER,CLARK,WA,98682-5003,5461,No,Not Available,No,Not Available
"WARREN,OH",Sam's Club,1040 NILES CORTLAND RD SE,WARREN,TRUMBULL,OH,44484-2539,6327,,,,
VANCOUVER (SE) WA,WM Supercenter,430 SE 192ND AVE,VANCOUVER,CLARK,WA,98683-9531,5462,No,Available,Yes,Available
"CICERO, IL",Sam's Club,2601 S CICERO AVE,CICERO,COOK,IL,60804-3644,6328,No,Available,Yes,Available
"HARTFORD, WI",WM Supercenter,1220 THEIL ST,HARTFORD,WASHINGTON,WI,53027-1448,5463,No,,Yes,Available
"TUPELO, MS",Sam's Club,3833 N GLOSTER ST,TUPELO,LEE,MS,38804-0914,6329,,,Yes,
THIBODAUX S LA,Neighborhood Market,224 W MAIN ST,THIBODAUX,TERREBONNE,LA,70301-5426,5464,No,Not Available,Yes,Not Available
KEWANEE IL,WM Supercenter,730 TENNEY ST,KEWANEE,HENRY,IL,61443-3702,633,No,Not Available,No,Not Available
GROVE CITY OH,WM Supercenter,1693 STRINGTOWN RD,GROVE CITY,FRANKLIN,OH,43123-8265,5466,No,Available,Yes,Available
"DOVER, DE",Sam's Club,1572 N DUPONT HWY,DOVER,KENT,DE,19901-2215,6330,Yes,Available,Yes,Available
MORRISTOWN BUFFALO TRAIL TN,Neighborhood Market,1997 BUFFALO TRL,MORRISTOWN,HAMBLEN,TN,37814-4364,5467,No,,Yes,
HANOVER (S) PA,WM Supercenter,1881 BALTIMORE PIKE,HANOVER,YORK,PA,17331-9605,5469,No,Available,Yes,Available
"KENOSHA, WI",Sam's Club,3300 BRUMBACK BLVD,KENOSHA,RACINE,WI,53144-4815,6331,Yes,Available,Yes,Available
"PLANT CITY, FL",WM Supercenter,2602 JAMES L REDMAN PKWY,PLANT CITY,HILLSBOROUGH,FL,33566-9460,547,Yes,Available,Yes,Available
HUNTINGDON PA,WM Supercenter,6716 TOWNE CENTER BLVD,HUNTINGDON,HUNTINGDON,PA,16652-6933,5470,No,,Yes,
"PHILADELPHIA, PA",Sam's Club,1000 FRANKLIN MILLS CIR,PHILADELPHIA,PHILADELPHIA,PA,19154-3115,6332,,,Yes,
MANSFIELD (S) OH,WM Supercenter,2485 POSSUM RUN RD,MANSFIELD,RICHLAND,OH,44903-9447,5471,Yes,,Yes,Available
"BANGOR, ME",Sam's Club,47 HASKELL RD,BANGOR,PENOBSCOT,ME,04401-4229,6333,,,Yes,
SALINE MI,WM Supercenter,7000 E MICHIGAN AVE,SALINE,WASHTENAW,MI,48176-9514,5472,No,Not Available,No,Not Available
"DECATUR, IL",Sam's Club,4334 N PROSPECT ST,DECATUR,MACON,IL,62526-6109,6334,,,Yes,
"OCALA, FL",Sam's Club,3921 SW COLLEGE RD,OCALA,MARION,FL,34474-5713,6335,,,,
"TEMPLE, TX",Sam's Club,1414 MARLANDWOOD RD,TEMPLE,BELL,TX,76502-3309,6336,,,Yes,
DEPTFORD (WEST) NJ,WM Supercenter,820 COOPER ST,WOODBURY,GLOUCESTER,NJ,08096-2598,5476,No,Available,Yes,Available
"COLLEGE STATION, TX",Sam's Club,1405 EARL RUDDER FWY S,COLLEGE STATION,BRAZOS,TX,77845-6033,6338,,,Yes,
JEFFERSON CITY E MO,WM Supercenter,401 SUPERCENTER DR,JEFFERSON CITY,COLE,MO,65101-8190,5477,No,,Yes,Available
"CRYSTAL LAKE, IL",Sam's Club,5670 NORTHWEST HWY,CRYSTAL LAKE,MCHENRY,IL,60014-8017,6339,,,Yes,
CAMDEN SC,WM Supercenter,2240 W DEKALB ST,CAMDEN,KERSHAW,SC,29020-2069,634,No,,No,Available
"PFLUGERVILLE, TX",WM Supercenter,1548 FM 685,PFLUGERVILLE,TRAVIS,TX,78660-3576,5479,No,Available,No,Available
LAWRENCEVILLE GA,WM Supercenter,630 COLLINS HILL RD,LAWRENCEVILLE,GWINNETT,GA,30046-4461,548,No,Available,Yes,Available
"SUNRISE, FL",Sam's Club,13550 W SUNRISE BLVD,SUNRISE,BROWARD,FL,33323-3902,6341,Yes,Available,Yes,Available
ROUND ROCK (NE) TX,WM Supercenter,4700 E PALM VALLEY BLVD,ROUND ROCK,WILLIAMSON,TX,78665-2580,5480,Yes,Available,Yes,Available
"TULSA (E), OK",Sam's Club,6922 S MINGO RD,TULSA,TULSA,OK,74133-3216,6342,Yes,Available,Yes,Available
"CHARLOTTE, NC",WM Supercenter,9820 CALLABRIDGE CT,CHARLOTTE,MECKLENBURG,NC,28216-7669,5481,Yes,Available,Yes,Available
"RICHMOND(NW),VA",Sam's Club,9440 W BROAD ST,RICHMOND,RICHMOND,VA,23294-5330,6343,,,Yes,
"EATONTON, GA",WM Supercenter,201 WALMART DR,EATONTON,PUTNAM,GA,31024-6761,5482,No,Available,Yes,Available
"WINDSOR HEIGHTS, IA",Sam's Club,1101 73RD ST,DES MOINES,POLK,IA,50324-1313,6344,Yes,Available,Yes,Available
GREENWOOD IN,WM Supercenter,882 S STATE ROAD 135,GREENWOOD,JOHNSON,IN,46143-9412,5483,Yes,Available,Yes,Available
"IDAHO FALLS, ID",Sam's Club,700 E 17TH ST,IDAHO FALLS,BONNEVILLE,ID,83404-6152,6345,Yes,Available,Yes,Available
"EVERGREEN PARK, IL",WM Supercenter,2500 W 95TH ST,EVERGREEN PARK,COOK,IL,60805-2807,5485,Yes,Available,Yes,Available
"FARMINGTON, NM",Sam's Club,4500 E MAIN ST,FARMINGTON,SAN JUAN,NM,87402-8665,6347,,,Yes,
"COUNTRY CLUB HILLS, IL",WM Supercenter,4005 167TH ST,COUNTRY CLUB HILLS,COOK,IL,60478-2070,5486,No,,No,
"PINEVILLE, NC",Sam's Club,11425 CAROLINA PLACE PKWY,PINEVILLE,MECKLENBURG,NC,28134-8816,6348,,,,
"TRAVELERS REST, SC",WM Supercenter,9 BENTON RD,TRAVELERS REST,GREENVILLE,SC,29690-2168,5487,No,Available,Yes,Available
"EVERGREEN PARK, IL",Sam's Club,9400 SOUTHWESTERN AVE,EVERGREEN PARK,COOK,IL,60805-2509,6349,Yes,,Yes,
"NORFOLK (N), VA",WM Supercenter,7530 TIDEWATER DR,NORFOLK,NORFOLK CITY,VA,23505-3703,5488,Yes,Available,Yes,Available
SAVANNAH GA,WM Supercenter,6000 OGEECHEE RD,SAVANNAH,CHATHAM,GA,31419-9544,635,Yes,Available,Yes,Available
"PEMBROKE,NC",WM Supercenter,930 HIGHWAY 711 EAST,PEMBROKE,ROBESON,NC,28372-0000,5489,Yes,,Yes,
"SHERMAN, TX",Sam's Club,3333 N US HIGHWAY 75,SHERMAN,GRAYSON,TX,75090-2525,6350,,,No,
HOBBS NM,WM Supercenter,3800 N LOVINGTON HWY,HOBBS,LEA,NM,88240-1033,549,No,Available,Yes,Available
"NEWPORT NEWS, VA",Sam's Club,12407 JEFFERSON AVE,NEWPORT NEWS,NEWPORT NEWS CITY,VA,23602-4311,6351,,,Yes,
SAN ANTONIO SHAENFIELD TX,Neighborhood Market,9005 FM 1560 N,SAN ANTONIO,BEXAR,TX,78254-9643,5490,No,,Yes,Available
"HUDSON, NH",Sam's Club,7 WALMART BLVD,HUDSON,HILLSBOROUGH,NH,03051-5248,6352,,Not Available,Yes,Not Available
"ALBUQUERQUE (EC), NM",WM Supercenter,2266 WYOMING BLVD NE,ALBUQUERQUE,BERNALILLO,NM,87112-2620,5491,No,Not Available,Yes,Available
"MYRTLE BEACH, SC",Sam's Club,1946 10TH AVE N,MYRTLE BEACH,HORRY,SC,29577-5624,6353,No,,No,
"SOCORRO, NM",WM Supercenter,700 6TH ST N,SOCORRO,SOCORRO,NM,87801-4242,5492,No,Not Available,Yes,Not Available
"MIDLOTHIAN, VA",Sam's Club,901 WALMART WAY,MIDLOTHIAN,CHESTERFIELD,VA,23113-2600,6354,,,Yes,
"HICKORY, NC",Sam's Club,2435 US HIGHWAY 70 SE,HICKORY,CATAWBA,NC,28602-8301,6355,Yes,Available,Yes,Available
"IDAHO FALLS (W), ID",WM Supercenter,500 S UTAH AVE,IDAHO FALLS,BONNEVILLE,ID,83402-3305,5494,Yes,Available,Yes,Available
"FISHKILL, NY",Sam's Club,56 W MERRITT BLVD,FISHKILL,DUTCHESS,NY,12524-2243,6356,,,Yes,
"GLENOLDEN, PA",Wal-Mart,50 N MACDADE BLVD,GLENOLDEN,PHILADELPHIA,PA,19036-1223,5495,No,Available,Yes,Available
"ANNAPOLIS, MD",Sam's Club,2100 GENERALS HWY,ANNAPOLIS,ANNE ARUNDEL,MD,21401-6723,6357,,,No,
"NORTHLAKE, IL",Sam's Club,141 W NORTH AVE,NORTHLAKE,COOK,IL,60164-2322,6358,No,,No,
"LERAY, NY",WM Supercenter,25737 US ROUTE 11,EVANS MILLS,JEFFERSON,NY,13637-3221,5497,No,Not Available,Yes,Not Available
"COMSTOCK PARK, MI",Sam's Club,3901 ALPINE AVE NW,COMSTOCK PARK,KENT,MI,49321-8350,6359,,,Yes,
"LOWVILLE, NY",WM Supercenter,7155 E STATE ST,LOWVILLE,LEWIS,NY,13367-2412,5498,No,,No,
PRINCETON IL,WM Supercenter,2111 CLAUDE BAILEY PKWY,PRINCETON,BUREAU,IL,61356-8618,636,No,,Yes,Available
"MILFORD, OH",WM Supercenter,201 CHAMBER DR,MILFORD,CLERMONT,OH,45150-2516,5499,No,Available,No,Available
BOONEVILLE AR,WM Supercenter,1400 EAST MAIN ST,BOONEVILLE,LOGAN,AR,72927-4921,55,No,,No,
"GRAND JUNCTION, CO",Sam's Club,1040 INDEPENDENT AVE,GRAND JUNCTION,MESA,CO,81505-7133,6360,,,,
LAWRENCEVILLE IL,WM Supercenter,2610 W HAVEN RD,LAWRENCEVILLE,LAWRENCE,IL,62439-3345,550,No,,Yes,
"FT. WALTON BEACH, FL",Sam's Club,740 BEAL PKWY NW,FORT WALTON BEACH,OKALOOSA,FL,32547-3002,6361,,,No,
PALATKA FL,WM Supercenter,1024 S STATE ROAD 19,PALATKA,PUTNAM,FL,32177-9000,551,Yes,Available,No,Available
WHITESBURG KY,Wal-Mart,350 WHITESBURG PLAZA,WHITESBURG,LETCHER,KY,41858-7502,552,No,,No,
"JACKSONVILLE (W), FL",Sam's Club,6373 YOUNGERMAN CIR,JACKSONVILLE,DUVAL,FL,32244-6609,6363,No,Not Available,Yes,Not Available
SLIDELL LA,WM Supercenter,39142 NATCHEZ DR,SLIDELL,ST. TAMMANY PARISH,LA,70461-2142,553,Yes,Available,Yes,Available
"NAPLES, FL",Sam's Club,2550 IMMOKALEE RD,NAPLES,COLLIER,FL,34110-1410,6364,,,Yes,
"CHARLOTTESVILLE, VA",Sam's Club,970 HILTON HEIGHTS RD,CHARLOTTESVILLE,ALBEMARLE,VA,22901-8393,6365,,,,
LAREDO TX,Wal-Mart,5610 SAN BERNARDO AVE,LAREDO,WEBB,TX,78041-3009,554,No,,Yes,
"VESTAL, NY",Sam's Club,2441 VESTAL PKWY E,VESTAL,BROOME,NY,13850-2018,6366,,,Yes,
DUBLIN GA,WM Supercenter,2423 US HIGHWAY 80 W,DUBLIN,LAURENS,GA,31021-0930,555,No,,Yes,Available
"HUMBLE, TX",Sam's Club,9665 FM 1960 BYPASS,HUMBLE,HARRIS,TX,77338-4043,6367,Yes,Available,Yes,Available
WAYCROSS GA,WM Supercenter,2425 MEMORIAL DR,WAYCROSS,WARE,GA,31503-6337,556,Yes,Available,Yes,Available
"CHESAPEAKE, VA",Sam's Club,1501 SAMS CIR,CHESAPEAKE,CHESAPEAKE CITY,VA,23320-4694,6368,,,No,
EMPORIA KS,WM Supercenter,2301 INDUSTRIAL RD,EMPORIA,LYON,KS,66801-6656,557,No,,Yes,Available
"EDISON, NJ",Sam's Club,883 US ROUTE 1,EDISON,MIDDLESEX,NJ,08817-4677,6369,,,No,
SALINA KS,WM Supercenter,2900 S 9TH ST,SALINA,SALINE,KS,67401-7879,558,No,,Yes,Not Available
LEXINGTON NE,WM Supercenter,200 FRONTIER ST,LEXINGTON,DAWSON,NE,68850-5677,637,No,,No,Available
MUSCATINE IA,WM Supercenter,3003 N HIGHWAY 61,MUSCATINE,MUSCATINE,IA,52761-5811,559,No,,No,Available
MORRISTOWN WEST TN,WM Supercenter,4331 W. ANDREW JOHNSON HIGHWAY,MORRISTOWN,HAMBLEN,TN,37814-0000,6370,No,,Yes,Available
AVA MO,WM Supercenter,1309 NW 12TH AVE,AVA,DOUGLAS,MO,65608-0000,56,No,,No,
"WOODBRIDGE, VA",Sam's Club,14050 WORTH AVE,WOODBRIDGE,PRINCE WILLIAM,VA,22192-4121,6371,,,,
ST JOSEPH MO,WM Supercenter,4201 N BELT HWY,SAINT JOSEPH,BUCHANAN,MO,64506-1299,560,No,Available,Yes,Available
"Dallas, TX",Sam's Club,6185 RETAIL RD STE 100,DALLAS,DALLAS,TX,75231-6023,6372,Yes,Available,Yes,Available
"VIENNA, WV",Sam's Club,1100 GRAND CENTRAL AVE,VIENNA,WOOD,WV,26105-1049,6373,No,,Yes,
RANCHO SANTA MARGARITA CA,Neighborhood Market,30491 AVENIDA DE LAS FLORES,RANCHO SANTA MARGARITA,ORANGE,CA,92688-3923,5600,No,,No,
HUNTINGTON BEACH CA,Neighborhood Market,21132 BEACH BLVD,HUNTINGTON BEACH,ORANGE,CA,92648-5404,5601,No,Available,Yes,Available
"LIMA, OH",Sam's Club,1150 GREELY CHAPEL RD,LIMA,ALLEN,OH,45804-4162,6375,No,Not Available,Yes,Available
CARSON CA,Neighborhood Market,20226 AVALON BLVD,CARSON,LOS ANGELES,CA,90746-3829,5602,No,,Yes,
"ADDISON, TX",Sam's Club,4062 LBJ FREEWAY,DALLAS,DALLAS,TX,75244-5701,6376,Yes,,Yes,
DOWNEY CA,Neighborhood Market,12270 PARAMOUNT BLVD,DOWNEY,LOS ANGELES,CA,90242-3549,5603,No,,No,
"JONESBORO, AR",Sam's Club,2405 S CARAWAY RD,JONESBORO,CRAIGHEAD,AR,72401-6208,6377,,,No,
HAWTHORNE CA,Neighborhood Market,14441 INGLEWOOD AVE,HAWTHORNE,LOS ANGELES,CA,90250-6715,5604,No,,No,Not Available
"RIVERSIDE, CA",Sam's Club,6363 VALLEY SPRINGS PKWY,RIVERSIDE,RIVERSIDE,CA,92507-0905,6378,,,No,
PANORAMA CITY CA,Neighborhood Market,14530 NORDHOFF ST,PANORAMA CITY,LOS ANGELES,CA,91402-1811,5605,Yes,,Yes,
"GREAT FALLS, MT",Sam's Club,401 NORTHWEST BYP,GREAT FALLS,CASCADE,MT,59404-4124,6379,,,Yes,
WOODLAND E CA,Neighborhood Market,1250 E GIBSON RD,WOODLAND,YOLO,CA,95776-6315,5606,No,,No,Available
GAFFNEY SC,WM Supercenter,165 WALTON DR,GAFFNEY,CHEROKEE,SC,29341-1268,638,Yes,Available,No,Available
"DAYTON, OH",Sam's Club,6955 MILLER LN,DAYTON,MONTGOMERY,OH,45414-2658,6380,,,,
"LEWISVILLE, TX",Sam's Club,751 W MAIN ST,LEWISVILLE,DENTON,TX,75067-3513,6381,Yes,Available,Yes,Available
"LAS VEGAS(W),NV",Sam's Club,7175 SPRING MOUNTAIN RD,LAS VEGAS,CLARK,NV,89117-3819,6382,,Available,Yes,Available
VACAVILLE ALAMO CA,Neighborhood Market,941 ALAMO DR,VACAVILLE,SOLANO,CA,95687-5601,5608,No,,No,
"SALISBURY, MD",Sam's Club,2700 N SALISBURY BLVD,SALISBURY,WICOMICO,MD,21801-2143,6383,,,Yes,
VALLEJO SERENO CA,Neighborhood Market,501 SERENO DR,VALLEJO,SOLANO,CA,94589-2460,5609,No,,Yes,Not Available
"HODGKINS, IL",Sam's Club,9500 JOLIET RD,HODGKINS,COOK,IL,60525-4137,6384,,,Yes,
EASTLAND TX,WM Supercenter,1410 E MAIN ST,EASTLAND,EASTLAND,TX,76448-3023,561,No,Available,No,Available
"GRAND FORKS, ND",Sam's Club,2501- 32ND AVE. SOUTH,GRAND FORKS,GRAND FORKS,ND,58201-6542,6385,,,Yes,
SAN RAMON ALCOSTA CA,Neighborhood Market,9100 ALCOSTA BLVD,SAN RAMON,CONTRA COSTA,CA,94583-3857,5610,No,Available,Yes,Available
"CONCORD, NH",Sam's Club,304 SHEEP DAVIS RD,CONCORD,MERRIMACK,NH,03301-5736,6386,,,Yes,
PLEASANTON S RITA CA,Neighborhood Market,3112 SANTA RITA RD,PLEASANTON,ALAMEDA,CA,94566-8300,5611,No,,No,
PINELLAS PARK FL,Sam's Club,7001 PARK BLVD,PINELLAS PARK,PINELLAS,FL,33781-3032,6387,,,Yes,Available
HOUSTON I-45 AND WAYSIDE TX,WM Supercenter,2391 S WAYSIDE DR,HOUSTON,HARRIS,TX,77023-3910,5612,No,Not Available,No,Not Available
ARLINGTON N TX,Neighborhood Market,2121 N COLLINS ST,ARLINGTON,TARRANT,TX,76011-2878,5613,No,Available,No,Available
MONTGOMERY IL,Sam's Club,1050 OGDEN AVE.,MONTGOMERY,KANE,IL,60538-0000,6388,,,Yes,
COLLEYVILLE TX,Neighborhood Market,4904 COLLEYVILLE BLVD,COLLEYVILLE,TARRANT,TX,76034-0000,5614,Yes,Available,Yes,Available
BRUNSWICK GA,WM Supercenter,150 ALTAMA CONNECTOR,BRUNSWICK,GLYNN,GA,31525-2203,639,Yes,Available,Yes,Available
HIALEAH GARDENS FL,Neighborhood Market,11800 HIALEAH GARDENS BLVD,HIALEAH GARDENS,MIAMI-DADE,FL,33018-0000,5615,No,,Yes,Available
INDIANAPOLIS IN,Neighborhood Market,5550 E FALL CREEK PARKWAY NORTH DR,INDIANAPOLIS,MARION,IN,46226-1453,6390,No,,No,
NASHVILLE TN,WM Supercenter,2421 POWELL AVE,NASHVILLE,DAVIDSON,TN,37204-4653,5616,Yes,Available,Yes,Available
TOPEKA E KS,WM Supercenter,2630 SE CALIFORNIA AVE,TOPEKA,SHAWNEE,KS,66605-1709,6392,No,Not Available,No,Not Available
CHICAGO HERMOSA IL,WM Supercenter,4626 W DIVERSEY AVE,CHICAGO,COOK,IL,60639-1829,5617,Yes,Available,Yes,Available
NORTH SHORE WI,WM Supercenter,6300 W BROWN DEER RD,BROWN DEER,MILWAUKEE,WI,53223-2233,6394,Yes,Available,Yes,Available
BLUFFTON (COMBO) SC,WM Supercenter,4 BLUFFTON RD,BLUFFTON,BEAUFORT,SC,29910-7621,6395,Yes,Available,Yes,Available
LEEDS AL,WM Supercenter,8551 WHITFIELD AVE,LEEDS,ST. CLAIR,AL,35094-7560,562,No,Available,Yes,Available
MIAMI (CORAL REEF) FL,WM Supercenter,15601 SW 127TH AVE,MIAMI,MIAMI-DADE,FL,33177-1406,6397,,,,
DELTONA FL,Neighborhood Market,1569 SAXON BLVD,DELTONA,VOLUSIA,FL,32725-5833,6398,No,,Yes,Available
BRANDON FL,Neighborhood Market,10863 BLOOMINGDALE AVE,RIVERVIEW,HILLSBOROUGH,FL,33578-3616,5622,Yes,Available,Yes,Available
BROWNSVILLE TN,WM Supercenter,1100 S DUPREE AVE,BROWNSVILLE,HAYWOOD,TN,38012-3234,64,No,,Yes,
GULF BREEZE FL,Neighborhood Market,334 GULF BREEZE PKWY,GULF BREEZE,ESCAMBIA,FL,32561-4492,5623,No,,No,Available
GREENVILLE SC,WM Supercenter,1451 WOODRUFF RD,GREENVILLE,GREENVILLE,SC,29607-5741,640,Yes,Available,Yes,Available
FARMERS BRANCH TX,Neighborhood Market,13100 JOSEY LN,FARMERS BRANCH,DALLAS,TX,75234-6351,5624,No,,No,Available
BROOKLYN CENTER MN,WM Supercenter,1200 SHINGLE CREEK CROSSING,BROOKLYN CENTER,HENNEPIN,MN,55430-0000,5625,Yes,Available,No,Available
TUCSON BRIDGES AZ,WM Supercenter,1260 E TUCSON MARKETPLACE BLVD,TUCSON,PIMA,AZ,85713-6508,5626,Yes,Available,Yes,Available
"TAMPA, FL",Sam's Club,15835 NORTH DALE MABRY,TAMPA,HILLSBOROUGH,FL,33618-1646,6401,,,No,
GRESHAM 181ST OR,Neighborhood Market,3900 W POWELL BLVD,GRESHAM,MULTNOMAH,OR,97030-6048,5627,No,,No,
"GREENSBORO, NC",Sam's Club,4418 W WENDOVER AVE,GREENSBORO,GUILFORD,NC,27407-2600,6402,,,Yes,
"BRANDON, FL",Sam's Club,2021 W BRANDON BLVD,BRANDON,HILLSBOROUGH,FL,33511-4701,6403,Yes,Available,Yes,Available
MONROE WA,WM Supercenter,19191 N KELSEY ST,MONROE,SNOHOMISH,WA,98272-1459,5628,Yes,Available,Yes,Available
"FAIRLAWN, OH",Sam's Club,3750 W MARKET ST UNIT J,FAIRLAWN,SUMMIT,OH,44333-4802,6404,,,,
EUREKA CA,Wal-Mart,3300 BROADWAY BAYSHORE MALL,EUREKA,HUMBOLDT,CA,95501-0000,5629,No,,No,
"YUBA CITY, CA",Sam's Club,900 N WALTON AVE,YUBA CITY,SUTTER,CA,95993-8634,6405,,,Yes,
ORANGE CITY FL,WM Supercenter,2400 VETERANS MEMORIAL PKWY,ORANGE CITY,VOLUSIA,FL,32763-1700,563,No,Available,Yes,Available
"NIAGARA FALLS, NY",Sam's Club,1580 MILITARY ROAD,NIAGARA FALLS,NIAGARA,NY,14304-1521,6406,,,,
"MANSFIELD, OH",Sam's Club,1070 N LEXINGTON SPRINGMILL RD,ONTARIO,RICHLAND,OH,44906-1121,6407,Yes,Not Available,Yes,Not Available
"SANTA FE, NM",Sam's Club,4201 RODEO RD,SANTA FE,SANTA FE,NM,87507-4837,6408,,,Yes,
FRESNO BLACKSTONE CA,WM Supercenter,1804 E ASHLAN AVE,FRESNO,FRESNO,CA,93726-2019,5632,Yes,,Yes,
"TUCKER, GA",Sam's Club,1940 MOUNTAIN INDUSTRIAL BLVD,TUCKER,DEKALB,GA,30084-6619,6409,Yes,Available,Yes,Available
CLOVIS SHAW CA,Neighborhood Market,1830 SHAW AVE,CLOVIS,FRESNO,CA,93611-0000,5633,Yes,Available,Yes,Available
GREENVILLE SC,WM Supercenter,6134 WHITE HORSE RD,GREENVILLE,GREENVILLE,SC,29611-3837,641,Yes,Available,Yes,Available
FRESNO WILLOW CA,Neighborhood Market,6855 N WILLOW AVE,FRESNO,FRESNO,CA,93710-0000,5634,No,,Yes,
"PEARL CITY, HI",Sam's Club,1000 KAMEHAMEHA HWY STE 100,PEARL CITY,HONOLULU,HI,96782-2596,6410,,,Yes,
VISALIA NW CA,Neighborhood Market,1320 N DEMAREE ST,VISALIA,TULARE,CA,93291-7714,5635,No,,Yes,
"SOUTHGATE, MI",Sam's Club,15700 NORTHLINE RD,SOUTHGATE,WAYNE,MI,48195-2378,6412,,,Yes,
OCEANSIDE MISSION CA,Neighborhood Market,1046 MISSION AVE,OCEANSIDE,SAN DIEGO,CA,92054-2843,5637,No,Available,No,Available
"LINCOLN (N), NE",Sam's Club,4900 N 27TH ST,LINCOLN,LANCASTER,NE,68521-1194,6413,Yes,,Yes,
SHERMAN HEIGHTS CA,Neighborhood Market,2121 IMPERIAL AVENUE,SAN DIEGO,SAN DIEGO,CA,92102-3826,5638,No,,Yes,
"GASTONIA, NC",Sam's Club,3540 E FRANKLIN BLVD,GASTONIA,GASTON,NC,28056-6297,6414,Yes,Available,No,Available
"JOPLIN, MO",Sam's Club,3536 HAMMONS BLVD,JOPLIN,NEWTON,MO,64804-4451,6415,,,,
